Name,Rating,href,attributes,Latitude,Longitude
BURAANS RESTAURANT,4.1,https://www.google.com/maps/place/BURAANS+RESTAURANT/data=!4m7!3m6!1s0x390cebddc664c1bb:0x367f11c50cc1025d!8m2!3d28.481444!4d77.5000664!16s%2Fg%2F11f9x120jl!19sChIJu8Fkxt3rDDkRXQLBDMURfzY?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMMNNuD82pz5MHHliEAdYvvbPfamQKvMFKBijId=w163-h92-k-no,28.481444,77.5000664
Trees and Treats,4.2,https://www.google.com/maps/place/Trees+and+Treats/data=!4m7!3m6!1s0x390cebd235070b15:0x281e9cbe894589c!8m2!3d28.4653585!4d77.4830271!16s%2Fg%2F11h481f7sf!19sChIJFQsHNdLrDDkRnFiU6MvpgQI?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMCSKv3YRQ2Bj95fhaGiFO26nsSIoUr2EPkEEUK=w138-h92-k-no,28.4653585,77.4830271
Boomarang,4.4,https://www.google.com/maps/place/Boomarang/data=!4m7!3m6!1s0x390cea82e7169ded:0x3f0dbc3b3fa1838e!8m2!3d28.4640161!4d77.5213595!16s%2Fg%2F124sxxmp1!19sChIJ7Z0W54LqDDkRjoOhPzu8DT8?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNBOWzDbRjNeQ_dUtgtu4ri12I6Loc30ExgS5Ih=w184-h92-k-no,28.4640161,77.5213595
talwar chick inn,3.7,https://www.google.com/maps/place/talwar+chick+inn/data=!4m7!3m6!1s0x390cc1d6430fa063:0xd0b9d41b428c0f91!8m2!3d28.4605846!4d77.5069658!16s%2Fg%2F11gh9nbz2n!19sChIJY6APQ9bBDDkRkQ-MQhvUudA?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNjXSHDcKotYH8PBzMFnvtMS50blePyVvXu7ne4=w80-h106-k-no,28.4605846,77.5069658
Mehfil Restaurant,4.2,https://www.google.com/maps/place/Mehfil+Restaurant/data=!4m7!3m6!1s0x390cea6e910b2a49:0x2e4fd62351f311ed!8m2!3d28.480617!4d77.5004929!16s%2Fg%2F11c72y0lnt!19sChIJSSoLkW7qDDkR7RHzUSPWTy4?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNGHDPpHLOiZC7-9YhZvfYDmIUtHVDu6yGOviM9=w111-h92-k-no,28.480617,77.5004929
Guduchi the family restaurant,3.8,https://www.google.com/maps/place/Guduchi+the+family+restaurant/data=!4m7!3m6!1s0x390ceb1444058cff:0xa52ad9f48d4a5aa2!8m2!3d28.5125379!4d77.4839283!16s%2Fg%2F11q2kdd8jc!19sChIJ_4wFRBTrDDkRolpKjfTZKqU?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOH4u9T0eLs9mtqHxnrPXYDFK4shu9IEEiRuYtj=w122-h92-k-no,28.5125379,77.4839283
The Royal Kitchen,4.2,https://www.google.com/maps/place/The+Royal+Kitchen/data=!4m7!3m6!1s0x390cebe2d110ae4d:0x1d5085ac1fdcb4e2!8m2!3d28.4730328!4d77.5040533!16s%2Fg%2F11hzzxc67h!19sChIJTa4Q0eLrDDkR4rTcH6yFUB0?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNID0hSOGqRvZH7YViLlvojvcHBPHTWo0xI5Mi9=w122-h92-k-no,28.4820474,77.4989132
The Royal Kitchen,4.2,https://www.google.com/maps/place/The+Royal+Kitchen/data=!4m7!3m6!1s0x390cebe2d110ae4d:0x1d5085ac1fdcb4e2!8m2!3d28.4730328!4d77.5040533!16s%2Fg%2F11hzzxc67h!19sChIJTa4Q0eLrDDkR4rTcH6yFUB0?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNID0hSOGqRvZH7YViLlvojvcHBPHTWo0xI5Mi9=w122-h92-k-no,28.4730328,77.5040533
Kebab High A family Rooftop Restaurant,4.9,https://www.google.com/maps/place/Kebab+High+A+family+Rooftop+Restaurant/data=!4m7!3m6!1s0x390cef42461fc171:0xd82ec510018bbe2c!8m2!3d28.5647171!4d77.4472643!16s%2Fg%2F11spn4sm1r!19sChIJccEfRkLvDDkRLL6LARDFLtg?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOICGZYSd1DyX9dX90NfVTKYVx4ntpwO9FUzt6I=w122-h92-k-no,28.5647171,77.4472643
The Butler & The Chef - Jaypee Greens,4.4,https://www.google.com/maps/place/The+Butler+%26+The+Chef+-+Jaypee+Greens/data=!4m7!3m6!1s0x390cc02bde616c37:0x8cb7b080a63a0a2c!8m2!3d28.464167!4d77.521526!16s%2Fg%2F11c6v3slrl!19sChIJN2xh3ivADDkRLAo6poCwt4w?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipONXHLrJ0AkFs_SuGVGUOIbHanpPndGwBiFDVHU=w122-h92-k-no,28.464167,77.521526
